userName;content;score;at;appVersion
Duma Sri Mudi;Suka aja;5;17/11/2022 08:05;4.55.2
Wahono;Kecewa Waktu bayar ada keterangan dapat cashback tp setelah bayar Cashback tidak masuk di komplain katanya ada aktivitas mencurigakan Padahal sudah gopay plus dan saya cuma punya 1 akun Mungkin karna hp saya jelek jadi saya sering copot pasang aplikasi supaya hp tidak ngelag Seharusnya yg sudah plus itu tetap di beri Cashback karena sudah verifikasi ktp sama selfi;1;28/06/2022 03:21;4.46.1
santuy klik;Aplikasi tolol saldo gw ilang sendiri;1;16/05/2022 07:51;4.40.1
Catur Adinugroho;Biaya layanan ya mahal sekarang ngak kayak dulu  promo2 nya juga ngak ada cash back nyapayah gojek sekarang udah ngak kayak dulu lagi;1;04/02/2023 03:05;4.60.1
harum sari;Disaat lagi butuh pesen gocar malah d suruh cancel padahal susah buat dpt drivergiliran kita yg cancel malah susah dpt gocarnya lagi;1;22/05/2023 03:06;4.66.1
Hadi Surya;Sangat membantubnyk promo nya jg ;5;22/11/2021 03:29;4.29.1
Sulaiman Kan;Ok;5;15/01/2022 04:27;4.16.1
unyil chanel uhuy;Cepat dan murah;5;24/12/2022 07:59;4.58.1
Alam Aljafar;Akun punya istri saya tiba2 nama profil berubah jadi punya oranglapor di apk gojek gak ada penyelesaian;1;27/11/2021 02:01;4.32.1
Lepay Gunawan;Mantap driver nya anyep;5;10/01/2023 04:36;4.58.1
Siti Munjiah;Ko gabisa ganti pin sih gmna Harus laporan kmna Soal nya nomor saya di pake orang tolong pencerahannya;1;27/03/2022 14:25;4.39.2
tedi sendjaja;Banyak promonya;5;08/04/2022 06:39;4.36.1
rindyani 1206;Mantap;5;02/08/2023 14:12;4.71.2
NengAnisa111201 Nisa;Makin banyakin promo nya hhe;5;29/10/2022 08:14;4.53.1
Muhammad Abusiri;apa apaan gofood di subang sukamandi jaya gak ada gojek gak guna kurang luas kurang pengalaman;1;31/07/2023 01:08;4.71.2
Aji Iskandar;Cukup membantu;5;29/12/2022 15:38;4.58.1
Hernul Reyna;Memudakan perjalan;5;08/02/2022 05:24;4.36.1
Erli Karyanto;Serba gunamantaf;5;21/06/2022 13:59;4.45.1
Cayy Official;Menurut aku apk ini sngt membantu aku bgt udh gtu slalu dpt driver yg baik2 udh gtu diskonanpilihan vouchernya bnyk bgt pokonya best bgt lah;5;09/06/2022 01:19;4.44.1
Abdul Kholiq;Mantab;5;17/07/2022 11:01;4.47.1
MUHAMAD MARJUKI MARJUKI;Aplikasi oktapi kenapa upgrade ke govay plus gak bisa bisa;5;01/11/2022 07:18;4.54.2
Chrisman Marthin Borman;Aplikasi Gojek sangat cocok utk aktivitas saya yang sangat mobile;5;03/09/2022 23:24;4.50.1
Candra Wilis;Gimana cara nya hapus daftar nomer rekening yang sudah kita simpan;5;03/04/2022 12:17;4.40.1
Wono Pramuditya;Dibanding yang sebelah harga relatif murah sini sih banyak promonya pula;5;30/05/2023 06:51;4.67.2
Hendarwan Aji;Oke makasih;5;26/04/2023 12:15;4.65.2
Arsa Dhani;Nice;5;22/11/2022 12:25;4.56.1
Badry Rosiandy;Aplikasi eror order motor yg datang mobil order satu yg datang dua;5;01/08/2023 13:13;4.71.2
Wiwin Novianti;Mantap;5;07/07/2023 22:54;4.69.2
Hengki Adi Saputra;Mantap;5;08/08/2022 14:15;4.48.1
Dina sinaga;lumayan membantu saat genting;3;12/08/2022 10:37;4.41.1
ardi Hermansyah;sukses selalu gojek indonesia;5;19/10/2023 10:21;4.76.2
TCI Trainer Channel;Good;5;07/10/2023 02:37;4.75.1
Diah Ajja;Kasih 2 bintang dulu ya;2;06/11/2021 09:13;4.30.1
Wahyu Diandra;TOP BGT Byk promo diskonny lg Sukses trs y GOJEK;5;04/12/2021 23:31;4.32.1
Ita Yulia;Keluar paksa terusssssssssssssssss;1;25/12/2021 00:41;4.34.1
Refni Ifa;Sangat membantu dalam transaksi online;5;06/05/2022 07:36;4.41.1
Deni Prasetyo;MAU UPGRADE GOPAYPLUS AJA RIBET ADA KTP KEGORES DAN LAIN ADA FOTO BURAM PADA HAL FOTONYA JUGA SIANG HARI  GUE JUGA PAKAI KTP SENDIRI KTP JUGA KEBACA DI APLIKASI LAINNYA KYK SHOPE DLL LHA INI SUSAH AMAT BUAT UPGRADE TAIII EMG;1;20/02/2022 02:30;4.36.1
Dasimah Hariyanto;ramah baik;5;22/03/2022 08:35;4.38.2
Emanuel Pordan Tanna;Oke ko mantap skali khususnya di Makassar  Makassar Daeng;5;11/12/2021 11:24;4.33.1
ABDUL LATIF;Pelayananya memuaskan;5;07/02/2022 06:21;4.36.1
Ova Kirani;MANTAP;5;17/07/2022 06:41;4.43.1
Nurhaliza Anggraini Aulia;laporan atas kendala tidak membantu;1;17/12/2023 15:21;4.79.2
Setan Kota;Sungguh luar biasa Aku mau semua driver yg seperti ini ramah senyumselalu menyapa apalagi selalu mengingatkan penumpang tuk menjaga kesehatankeselamatan;5;22/01/2024 15:02;4.81.1
Regi Ridho Biyantomo;Mahal disini;1;09/01/2022 13:24;4.34.1
Dedeh Juariah;Bagus sekali sangat membantu aktivitas;5;03/09/2022 10:57;4.45.1
Sumi Merry;Gofood nya top banget deh pesanan slalu diantarin cepat dan banyak promo discount nya ;5;25/09/2022 07:58;4.52.2
diah badriyah;Alhamdulillah memuaskan;5;12/01/2022 08:53;4.31.1
Neni Saripah;Makes update terus;4;19/08/2022 05:06;4.38.1
singgih;Selama pakai gojek baru pernah ngalamin 1 hal yang kurang berkenan di hati;5;01/09/2022 03:31;4.50.1
Afawanda sisardhana;baik;5;13/11/2022 11:57;4.55.2
Tiwi suprihatin;Naik gojekk banyak voucer nyaa jd lebih hematt;5;05/02/2022 10:33;4.36.1
Newty Shine;Tolong untuk driver mobil untuk 6 orang ke atas itu harusnya ada mobil xenia atau avanza semua nya sigra atau calya mobil kecil semua mau bawa barang ga bisa sama sekali karena mobilnya ga muat lucu amat;1;27/11/2022 08:32;4.56.1
Sufi abdillah Faddlan;kurang perbaikan;5;10/09/2023 21:16;4.73.1
Ru Rujito2013;Lep song;5;16/12/2021 22:10;4.33.1
al muazim;Aplikasi yang bermanfaat Good job anak bangsa Terima kasih;5;05/12/2021 02:46;4.33.1
ririn comel;good;5;03/03/2022 04:57;4.38.2
Diansyah Andri Haris;Ok;5;28/07/2023 17:29;4.70.1
Cookie Pie;Perbanyak promo y masak kalah sm sebelah ;5;18/07/2022 08:32;4.47.1
Agus Suryana;Pylter saya dibekukan padahal lancar saya bayarnya;1;06/06/2023 14:56;4.68.1
achmad tarmizi;Good jobs;4;03/12/2023 23:36;4.78.3
Rino Nabiansyah;Makin lama makin broken gjls Mau isi alamatnya aja aplikasi kebanyakan ngeframe ajg;1;17/04/2023 08:27;4.64.2
Deni;Voucher gofood kenapa ga bisa diganti Padahal udah memenuhi minimal order harusnya bisa pakai voucher yg diskon 28k dan gratis ongkir Tapi tetep aja yg terpasang voucher yg cuma gratis ongkir Udah cari cara ganti voucher katanya klik ganti tapi ga ada tulisan gantinya Satu lagi tambahin menu chat dengan CS dong buat komplain kalo ada masalah biar saya ga komplain disini;1;05/05/2022 18:12;4.42.2
Bryan Ramadhan;Meng eek lah saya sudah bikin akun trus dapet sms di suruh login di link malah gk bisa;1;17/02/2022 14:43;4.36.1
ahmad Fakhim kafiyah wibowo;Saran agar dapat menghapus permanen riwayat transaksi;5;30/01/2024 21:05;4.77.1
Andreas Pratama;Alhamdulillah gw dukung trus produk lokal plus ikut beli saham nya;5;19/06/2022 11:32;4.42.2
Ismail Siregar;Pingg;5;13/01/2023 22:38;4.3.1
muhammad fathur rohim;App jenius yang banyak manfaat;5;03/05/2023 07:16;4.64.2
Joko umaryanto;memuaskan;4;31/10/2022 13:56;4.54.2
adi febriadi;Cakep;5;08/06/2022 01:17;4.40.1
1IA22_ADITYA PERMANA PUTRA;GAJELAS MASA AKTIVITAS TIDAK WAJAR PADAHAL GA PERNAH YANG ANEH ANEH AKUNNYA;1;23/03/2022 05:59;4.39.2
Azka Mahardika;Siiiiiip;4;25/02/2022 10:54;4.37.2
wiliyantie naripan;Murah;5;19/12/2023 10:55;4.77.1
Entin Suhartini;Anyep;1;18/01/2023 02:52;4.59.1
Khairul Ihsan;Sangat baik;5;07/02/2022 03:36;4.13.1
Alek Jastin;Ok;5;13/11/2022 01:56;4.55.2
Eprilia Resiana;Bisa diandalkan dalam hal pembayaran yg cepat nyaman aman;5;30/06/2022 13:36;4.45.1
Chairul Fahmi;bagus sekali deh;5;11/02/2022 07:43;4.36.1
Ade 1996;Sebenarnya enak gojekan yaacuma kenapa sekarang goodfoodnya makin mahal ya banyak di kenain biaya2 gitupdhal kan tidak semua orang kantong dompetnya sama;4;12/10/2022 08:50;4.53.1
Mils Satisfying;kelasss;5;02/04/2022 03:33;4.20.1
Agus Dadang;mantap gojeg sangat membantu bagi saya;5;24/11/2021 11:34;4.31.1
Lia Marliana;Apk busuk saldo di blok bgtu saja gak bisa di kembalikanitu uang bukan daun Yng ngersa sama ramaikan ulasan yng bgni biar tak makan banyak saldo korban lagi;1;25/01/2022 08:59;4.35.1
andre wang;bagus;5;12/01/2023 11:32;4.58.1
maghfira jannah;males pake apk ini gopaylaternya meskipun kita udah bayar tetep aja di tlfn mati matian ckckck;1;06/09/2022 09:06;4.51.1
dicky donovan;Banyakin promo ya ;5;08/12/2021 01:52;4.33.1
imam 2773;Ok sangat menbantu;5;06/03/2022 22:50;4.37.2
vika fitri;Bagus;5;14/08/2022 04:42;4.46.1
Global Ponsel;lemot bgt pdhl jaringan oke;1;06/03/2022 11:26;4.31.1
Ezigoing;Baik;5;15/12/2021 06:38;4.33.1
ricky agusetyawan;Sekarang pesan goofood vocer g bisa pilih 2 vocer dan kalau hujan sering di batalkan alasan driver sibuk dan tanpa konfirmasi ke pemesan payah;1;12/11/2022 12:19;4.55.2
Fajar Sandika;Bagus sangat membantu;5;16/06/2022 19:15;4.45.1
Nur Cahyo;Mending pake maxim;1;03/03/2023 14:02;4.62.2
Rffdha erlita;Kecewa bangt sama gojek skrg dlu kedua voucher bisa di pakai bersamaan skrg udh ga bisa jadi percuma dong beli voucher gratis ongkir ujung ujungnya ga kepakai;2;22/10/2022 06:45;4.54.2
Dimas Muhammad;Gojek tambah mahallll biaya layanan bisa sampe 11rb belom ongkirnya ampun dah;1;14/03/2023 16:47;4.63.2
jangkung ibra;Cakep;4;06/12/2021 05:48;4.32.1
Pak Ahmad;Puas dengan gojek;5;23/02/2022 11:36;4.36.1
Rizky Muhammad Fajar;Oke;5;21/02/2023 13:34;4.61.1
AIRIIQUE BMH;Nice;5;30/03/2022 08:36;4.40.1
Sri Wana;Tepat waktu;4;24/07/2022 08:51;4.36.1
Dhedi Daryono;Mantul ;5;03/08/2023 06:34;4.22.1
Babang MF;Parah tiba saldo GOPAY di blokir tpi tidak bisa kembali saldo nya kecewa banget sama cs nya tidak ada solusi;1;19/01/2022 11:49;4.35.1
Rismi yati;Penjemputan nya terlalu jauh saya nunggu lamaa;1;17/09/2023 06:39;4.72.1
Ardi Yanto;Mantaplah;5;01/07/2022 21:17;4.46.1
Nuraini Nafisa Zahira;Kalo hujan susah bgt dapet driver;2;07/04/2022 11:11;4.37.2
Alexander Angesti Tan;App mudah dipakai;5;30/03/2022 04:42;4.40.1
mega ws;Ok;5;22/10/2023 06:58;4.77.1
Tuti Sulastri;Nyaman;5;01/07/2022 22:25;4.46.2
Yusniar Nainggolan;menyenangkan;5;29/09/2022 13:05;4.52.2
Agus Priyono;Sangat membantu ;5;03/02/2023 01:41;4.58.1
Akhi Waridhan;Mumtaz;5;10/02/2022 16:52;4.36.1
Indra Yana;Diblok tidak bisa pesan padahal sy langganan lama malah status anak sultan  telpon cs katanya harus ganti hp baru bisa pesan jadi setiap ada masalah harus ganti hpapa uang gampang di cari ;1;20/06/2022 06:06;4.45.1
Rahmad kris oktora;Sangat bagus;5;13/02/2022 07:08;4.16.1
Untung Suropati;Gojek good job Tetep semangat ;5;12/09/2022 10:33;4.51.1
Dedy Lim;mau tap kartu di stasiun rajawali info dari petugas KAI aplikasi gojek error lagi;1;06/09/2023 12:13;4.73.1
